time,longitude,latitude,snr_[MJ/m2],tp_[mm],ro_[m],sm_[m3/m3],le_[W/m2],t2m_[K]
2008-01-01,15.875,63.625,-0.8386061,0.9628566,1.5418816e-05,0.35922524,1.7650665163441939,268.50705
2008-01-02,15.875,63.625,-1.1142073,0.8618938,1.36778035e-05,0.35859507,1.8223615458097169,271.3008
2008-01-03,15.875,63.625,-1.2692399,1.5207235,1.36778035e-05,0.36095628,1.8796565752752399,268.71017
2008-01-04,15.875,63.625,-2.423191,0.9196785,1.36778035e-05,0.35774308,1.9369516047407629,269.7792
2008-01-05,15.875,63.625,-1.4231347,1.5907964,1.36778035e-05,0.35772938,1.9942466342062861,269.83823
2008-01-06,15.875,63.625,-0.91014606,3.3668962,1.3702832e-05,0.35998663,2.051541663671809,270.58176
2008-01-07,15.875,63.625,-0.99603313,0.735317,1.36778035e-05,0.35818434,2.108836693137332,271.99622
2008-01-08,15.875,63.625,-1.0292858,1.0096818,1.371326e-05,0.35977313,2.166131722602855,272.6649
2008-01-09,15.875,63.625,-0.9238509,4.636291,1.3828492e-05,0.36684507,2.223426752068378,272.54205
2008-01-10,15.875,63.625,-2.3559885,1.0419745,1.3844656e-05,0.3642846,2.154756609040002,273.3945
2008-01-11,15.875,63.625,-1.9067645,5.3702426,1.3905141e-05,0.36951408,2.0860864660116256,271.93994
2008-01-12,15.875,63.625,-3.1036637,2.068413,1.3890541e-05,0.36844894,2.0174163229832494,266.3105
2008-01-13,15.875,63.625,-3.699548,5.7792645,1.3863949e-05,0.36303705,1.948746179954873,267.97168
2008-01-14,15.875,63.625,-1.7775419,1.4592053,1.3946332e-05,0.3581032,1.8800760369264968,270.95352
2008-01-15,15.875,63.625,-2.0019023,0.13518779,1.4963095e-05,0.3547315,1.8114058938981206,275.43356
2008-01-16,15.875,63.625,-0.88250875,6.339702,1.4711252e-05,0.36769524,1.7427357508697443,274.40833
2008-01-17,15.875,63.625,-0.4292764,10.1218815,1.4671624e-05,0.37551755,1.674065607841368,273.29306
2008-01-18,15.875,63.625,-0.8861047,0.8592571,1.3987524e-05,0.37177044,1.7434547448323832,270.71573
2008-01-19,15.875,63.625,-0.8513075,5.491111,1.3890541e-05,0.3738554,1.8128438818233983,273.3442
2008-01-20,15.875,63.625,-4.922453,0.1975264,1.4019852e-05,0.3695353,1.8822330188144136,269.26285
2008-01-21,15.875,63.625,-3.2302868,0.3365398,1.3987525e-05,0.36524543,1.9516221558054287,265.19315
2008-01-22,15.875,63.625,-4.870371,0.0795046,1.4100671e-05,0.3588522,2.021011292796444,265.94116
2008-01-23,15.875,63.625,-1.7931474,0.32863602,1.4116836e-05,0.3558356,2.090400429787459,260.32376
2008-01-24,15.875,63.625,-2.009676,8.651026,1.4262311e-05,0.35694826,2.1597895667784743,270.95337
2008-01-25,15.875,63.625,-3.8365474,2.5462487,1.4278476e-05,0.35706288,2.2291787037694895,268.8176
2008-01-26,15.875,63.625,-5.8783364,0.033621594,1.4278476e-05,0.3493212,2.2481042995221086,269.71628
2008-01-27,15.875,63.625,-6.0507493,0.4174832,1.4278476e-05,0.34793,2.267029895274727,268.28973
2008-01-28,15.875,63.625,-2.4049928,0.70668334,1.4278476e-05,0.34551063,2.2859554910273463,272.07944
2008-01-29,15.875,63.625,-3.7030919,2.5858686,1.4305067e-05,0.34824377,2.3048810867799654,272.42532
2008-01-30,15.875,63.625,-5.148527,0.021800078,1.4278476e-05,0.34535578,2.323806682532584,266.78436
2008-01-31,15.875,63.625,-2.685116,1.4552962,1.4322796e-05,0.34452057,2.342732278285203,266.10574
2008-02-01,15.875,63.625,-1.1508985,7.8857245,1.4255991e-05,0.34788907,2.361657874037822,272.77554
2008-02-02,15.875,63.625,-2.162321,3.1013389,1.4304728e-05,0.35019514,2.380583469790441,270.0418
2008-02-03,15.875,63.625,-4.6680846,0.0042632776,1.4249099e-05,0.34525353,2.5040314627673337,261.1525
2008-02-04,15.875,63.625,-0.028307304,0.47014865,1.4249099e-05,0.34266943,2.6274794557442265,261.93964
2008-02-05,15.875,63.625,-0.39015296,0.42297226,1.4249099e-05,0.33982664,2.7509274487211193,270.89435
2008-02-06,15.875,63.625,-0.43297386,2.4889562,1.4274206e-05,0.34625083,2.874375441698012,272.06613
2008-02-07,15.875,63.625,-2.156433,1.3929186,1.42742065e-05,0.34748247,2.9978234346749053,271.44437
2008-02-08,15.875,63.625,-3.51779,0.0045946497,1.4290944e-05,0.34520382,3.121271427651798,271.70224
2008-02-09,15.875,63.625,-0.013977815,1.6400768,1.4265837e-05,0.35043842,3.244719420628691,273.2055
2008-02-10,15.875,63.625,-1.8031697,0.4751672,1.4249099e-05,0.35053402,3.3681674136055837,272.31662
2008-02-11,15.875,63.625,-1.944091,1.6653345e-13,1.4282575e-05,0.3502993,3.429920955871542,270.52316
2008-02-12,15.875,63.625,-2.3556485,0.07741443,1.4299313e-05,0.3504031,3.4916744981375003,267.374
2008-02-13,15.875,63.625,-5.5197253,0.18774977,1.4246145e-05,0.34529,3.5534280404034586,271.66364
2008-02-14,15.875,63.625,-5.7421527,0.019777412,1.4246145e-05,0.34175277,3.6151815826694165,268.1145
2008-02-15,15.875,63.625,-4.2111506,1.6653345e-13,1.4243192e-05,0.33654907,3.6769351249353748,265.9862
2008-02-16,15.875,63.625,-2.362914,0.85309464,1.4315559e-05,0.3339975,3.738688667201333,269.94165
2008-02-17,15.875,63.625,-2.7773468,1.1804688,1.4258453e-05,0.3337168,3.8004422094672914,273.4581
