  ID,Schenk_Jackson_2002,Reference,location,Latitude,Longitude,Elevation,MaxDiameter,Measurement,Totmass,Sampdepth,Sampmax,Texture,Depth_org_horizon,Broadleaved_trees,Needleleaved_trees,Shrubs,Semi_shrubs,Grasses,Forbs,Succulents,Tree_phenology,Anthropogenic,Wetland,Vegetation,UMD_cover,PET,MAP,Rainfall_season,D50,D95,D50_extrapolated,D95_extrapolated
AC01a,YES,Webber & May 1977,"Colorado, USA",40.05,-105.6,3650,Total,mass,2.46,0.9,no,medium,5,0,0,0,0,1,1,0,-999,N,N,alpine herbaceous,10,304,993,winter maximum,0.12,0.7,0.15,1.25
AC01b,YES,Webber & May 1977,"Colorado, USA",40.05,-105.6,3650,Total,mass,4.15,0.9,yes,medium,15,0,0,0,0,1,1,0,-999,N,N,alpine herbaceous,10,304,993,winter maximum,0.06,0.5,0.06,0.69
AC01c,YES,Webber & May 1977,"Colorado, USA",40.05,-105.6,3650,Total,mass,4.55,0.9,no,medium,15,0,0,0,0,1,1,0,-999,N,N,alpine herbaceous,10,304,993,winter maximum,0.04,0.52,0.05,0.81
AC01d,YES,Webber & May 1977,"Colorado, USA",40.05,-105.6,3650,Total,mass,3.33,0.35,no,medium,5,0,0,0,0,1,1,0,-999,N,N,alpine herbaceous,10,304,993,winter maximum,0.02,0.22,0.02,0.37
AC01e,YES,Webber & May 1977,"Colorado, USA",40.05,-105.6,3650,Total,mass,4.84,0.4,no,medium,15,0,0,0,0,1,1,0,-999,N,N,alpine herbaceous,10,304,993,winter maximum,0.06,0.27,0.06,0.38
AC01f,YES,Webber & May 1977,"Colorado, USA",40.05,-105.6,3650,Total,mass,4.49,0.8,no,medium,15,0,0,0,1,1,1,0,-999,N,N,Wooded grassland,7,304,993,winter maximum,0.14,0.68,0.22,1.31
AC02a,NO,Ladygina & Litvinova 1974,"Pamirs, Tajikistan",38.15,73.95,~4000,Total,mass,8.7,1,no,-999,-999,0,0,0,0,1,1,0,-999,N,Y,alpine herbaceous,10,401,130,winter maximum,0.13,0.61,0.13,0.78
AC02b,NO,Ladygina & Litvinova 1974,"Pamirs, Tajikistan",38.15,73.95,~4000,Total,mass,9.74,1,no,-999,-999,0,0,0,0,1,1,0,-999,N,Y,alpine herbaceous,10,401,250,winter maximum,0.11,0.51,0.12,0.6
AC02c,NO,Ladygina & Litvinova 1974,"Pamirs, Tajikistan",38.15,73.95,~4000,Total,mass,6.3,1,no,-999,-999,0,0,0,0,1,1,0,-999,N,Y,alpine herbaceous,10,401,190,winter maximum,0.07,0.48,0.08,0.58
AC02d,NO,Ladygina & Litvinova 1974,"Pamirs, Tajikistan",38.15,73.95,~4000,Total,mass,6.82,1,no,-999,-999,0,0,0,0,1,1,0,-999,N,Y,alpine herbaceous,10,401,250,winter maximum,0.08,0.4,0.09,0.44
AC02e,NO,Ladygina & Litvinova 1974,"Pamirs, Tajikistan",38.15,73.95,~4000,Total,mass,7.08,1,no,-999,-999,0,0,0,0,1,1,0,-999,N,Y,alpine herbaceous,10,401,190,winter maximum,0.13,0.68,0.14,0.99
AC03a,YES,Kaletkina 1974,W Tajikistan,39.17,68.82,3373,Total,mass,-999,0.6,no,-999,-999,0,0,0,0,1,1,0,-999,N,N,alpine herbaceous,10,802,494,winter maximum,0.1,0.47,0.12,0.8
AC03b,YES,Kaletkina 1974,W Tajikistan,39.17,68.82,3373,Total,mass,-999,0.8,no,-999,-999,0,0,0,0,1,1,0,-999,N,N,alpine herbaceous,10,802,494,winter maximum,0.05,0.47,0.05,0.71
AC08,YES,Rosswall et al. 1975,N Sweden,68.37,19.05,351,Total,mass,-999,0.55,yes,organic,55,0,0,0,1,1,1,0,-999,N,N,Wooded grassland,7,339,300,summer maximum,0.06,0.29,0.06,0.34
BF01,YES,Persson 1982,Central Sweden,60.82,16.5,185,10,mass,0.68,0.68,no,coarse,8,0,1,0,1,0,0,0,evergreen,N,N,ENL forest / boreal,1,494,607,summer maximum,0.09,0.25,0.09,0.26
BF02,YES,Ignatenko et al. 1972,"Taimyr Peninsula, Russia",72.45,101.95,30-150,5,mass,0.38,0.7,no,medium,14,0,1,0,1,1,0,0,evergreen,N,N,ENL forest / boreal,1,337,243,summer maximum,0.07,0.36,0.07,0.44
BF03a,YES,Strong & La Roi 1983,"Alberta, Canada",55.17,-114.13,-999,Total,number,-999,1.3,no,coarse,2.4,0,1,0,1,0,1,0,evergreen,N,N,ENL forest / boreal,1,768,475,summer maximum,0.17,0.86,0.18,1.21
BF03b,YES,Strong & La Roi 1983,"Alberta, Canada",55.17,-114.13,-999,Total,number,-999,1.3,no,coarse,5.5,1,0,1,1,0,1,0,winter-deciduous,N,N,DBL forest / boreal,4,768,475,summer maximum,0.2,0.94,0.22,1.41
BF03c,YES,Strong & La Roi 1983,"Alberta, Canada",55.17,-114.13,-999,Total,number,-999,1.3,no,coarse,8.3,0,1,0,0,0,0,0,evergreen,N,N,ENL forest / boreal,1,768,475,summer maximum,0.28,1.06,0.33,1.8
BF03d,YES,Strong & La Roi 1983,"Alberta, Canada",55.17,-114.13,-999,Total,number,-999,0.5,no,organic,50,0,1,0,1,1,0,0,evergreen,N,N,ENL forest / boreal,1,768,475,summer maximum,0.09,0.37,0.09,0.56
BF03e,YES,Strong & La Roi 1983,"Alberta, Canada",55.17,-114.13,-999,Total,number,-999,1,no,fine,8.1,1,1,1,0,1,1,0,evergreen,N,N,ENL forest / boreal,1,768,475,summer maximum,0.13,0.67,0.14,0.95
BF03f,YES,Strong & La Roi 1983,"Alberta, Canada",55.17,-114.13,-999,Total,number,-999,0.8,no,fine,12,1,1,1,0,0,1,0,evergreen,N,N,ENL forest / boreal,1,768,475,summer maximum,0.14,0.61,0.16,0.97
